ID,County,Year,Salaries
158,Sligo,2006,"23,168"
159,Cavan,2006,"23,524"
160,Donegal,2006,"19,171"
161,Monaghan,2006,"22,320"
162,Galway,2006,"24,576"
163,Mayo,2006,"21,564"
164,Roscommon,2006,"23,371"
165,Clare,2006,"24,116"
166,Limerick,2006,"25,030"
167,Tipperary,2006,"24,383"
168,Carlow,2006,"23,214"
169,Kilkenny,2006,"23,691"
170,Wexford,2006,"24,310"
171,Waterford,2006,"24,234"
172,Cork,2006,"25,810"
173,Kerry,2006,"21,628"
174,Dublin,2006,"29,924"
175,Kildare,2006,"29,010"
176,Louth,2006,"25,039"
177,Meath,2006,"29,180"
178,Wicklow,2006,"25,794"
179,Laois,2006,"24,375"
180,Longford,2006,"23,163"
181,Offaly,2006,"23,409"
182,Westmeath,2006,"23,533"
183,Leitrim,2007,"24,625"
184,Sligo,2007,"24,516"
185,Cavan,2007,"25,517"
186,Donegal,2007,"20,164"
187,Monaghan,2007,"23,482"
188,Galway,2007,"25,872"
189,Mayo,2007,"22,476"
190,Roscommon,2007,"23,853"
191,Clare,2007,"25,683"
192,Limerick,2007,"26,158"
193,Tipperary,2007,"25,820"
194,Carlow,2007,"25,085"
195,Kilkenny,2007,"25,502"
196,Wexford,2007,"26,602"
197,Waterford,2007,"26,084"
198,Cork,2007,"27,083"
199,Kerry,2007,"22,607"
200,Dublin,2007,"31,443"
201,Kildare,2007,"30,006"
202,Louth,2007,"26,538"
203,Meath,2007,"30,581"
204,Wicklow,2007,"27,033"
205,Laois,2007,"25,473"
206,Longford,2007,"23,785"
207,Offaly,2007,"23,617"
208,Westmeath,2007,"24,391"
209,Leitrim,2008,"26,229"
210,Sligo,2008,"24,996"
211,Cavan,2008,"26,090"
212,Donegal,2008,"21,216"
213,Monaghan,2008,"23,774"
214,Galway,2008,"27,439"
215,Mayo,2008,"23,773"
216,Roscommon,2008,"25,156"
217,Clare,2008,"26,977"
218,Limerick,2008,"26,731"
219,Tipperary,2008,"26,718"
220,Carlow,2008,"25,943"
221,Kilkenny,2008,"26,743"
222,Wexford,2008,"27,589"
223,Waterford,2008,"26,520"
224,Cork,2008,"28,201"
225,Kerry,2008,"23,463"
226,Dublin,2008,"32,624"
227,Kildare,2008,"31,025"
228,Louth,2008,"27,508"
229,Meath,2008,"31,657"
230,Wicklow,2008,"27,634"
231,Laois,2008,"26,763"
232,Longford,2008,"24,874"
